user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
Slapshot,Rudolph,0,96,24,0,<NA>,<NA>,<NA>
Slinky,Prancer,0,18,3,3,3,0,<NA>
Sloppy Joe,Prancer,0,18,6,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,32,8,0,3,5,<NA>
Soft Hands,Cupid,10,280,31,72,<NA>,<NA>,<NA>
Sparkler,Cupid,0,194,24,73,<NA>,<NA>,<NA>
Sparky,Dancer,20,345,30,93,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,65,11,9,<NA>,<NA>,<NA>
Spirit,Cupid,0,11,2,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,20,538,65,96,<NA>,<NA>,<NA>
Stitch,Vixen,0,28,8,4,3,5,0
Storm Chaser,Donner,0,287,40,44,<NA>,<NA>,<NA>
TPS Report,Vixen,0,25,3,13,3,0,<NA>
The Vault,Prancer,0,34,6,0,3,5,0
The Worm,Prancer,0,75,14,8,<NA>,<NA>,<NA>
Thesaurus,Dancer,0,74,14,0,<NA>,<NA>,<NA>
Tighty Whities,Comet,0,147,23,11,3,5,<NA>
Tinfoil,Prancer,10,130,24,27,3,5,<NA>
Toby,Comet,0,11,1,0,3,0,<NA>
Trickle,Donner,0,45,7,6,<NA>,<NA>,<NA>
Trifecta,Dasher,0,124,12,39,<NA>,<NA>,<NA>
Trojan,Dasher,0,22,4,0,3,0,<NA>
TruGreen,Dancer,0,110,7,0,<NA>,<NA>,<NA>
Tweety,Vixen,0,84,14,33,<NA>,<NA>,<NA>
UPS,Dasher,0,231,28,42,<NA>,<NA>,<NA>
Underdog,Rudolph,0,124,23,42,<NA>,<NA>,<NA>
Waffle House,Dancer,0,86,15,0,3,5,0
Wet Bandit,Prancer,0,15,3,3,<NA>,<NA>,<NA>
Wing Stop (F3 Naperville),Comet,0,125,21,12,<NA>,<NA>,<NA>
Woody,Blitzen,0,22,5,2,<NA>,<NA>,<NA>
Xena- Warrior Princess,Blitzen,0,114,15,0,<NA>,<NA>,<NA>
YellowPages,Prancer,10,272,35,26,<NA>,<NA>,<NA>
Zimmer,Dasher,10,261,30,45,<NA>,<NA>,<NA>
fuzzy navel,Donner,20,204,14,27,<NA>,<NA>,<NA>
pep boys,Comet,0,3,1,0,3,0,<NA>
vern,Vixen,0,124,23,26,<NA>,<NA>,<NA>
