rank,user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
53,Jellystone,Dasher,0,119,14,33,<NA>,<NA>,<NA>
54,Scuba Steve,Vixen,0,117,18,16,<NA>,<NA>,<NA>
55,Rooney,Dasher,10,116,16,30,<NA>,<NA>,<NA>
55,Tighty Whities,Comet,0,116,16,11,3,5,<NA>
56,Party in a bottle,Dancer,10,113,16,6,<NA>,<NA>,<NA>
57,Caboose,Cupid,0,112,16,0,<NA>,<NA>,<NA>
58,Choco Taco,Comet,10,108,8,30,3,5,<NA>
59,vern,Vixen,0,107,18,24,<NA>,<NA>,<NA>
59,Picasso,Cupid,0,107,15,45,<NA>,<NA>,<NA>
60,Hatchet (Lizard Q),Comet,0,105,13,18,<NA>,<NA>,<NA>
61,Just Dance,Blitzen,10,99,12,33,<NA>,<NA>,<NA>
61,PFG,Prancer,10,99,19,6,<NA>,<NA>,<NA>
61,Tinfoil,Prancer,10,99,17,18,3,5,<NA>
61,Underdog,Rudolph,0,99,18,33,<NA>,<NA>,<NA>
62,Corner Kick,Donner,0,98,13,22,<NA>,<NA>,<NA>
63,Trifecta,Dasher,0,95,9,24,<NA>,<NA>,<NA>
63,Celler Dweller,Donner,0,95,15,5,<NA>,<NA>,<NA>
64,Liberty Biberty,Prancer,0,94,15,23,<NA>,<NA>,<NA>
64,Morticia,Blitzen,0,94,18,15,<NA>,<NA>,<NA>
64,John Denver,Donner,10,94,13,31,<NA>,<NA>,<NA>
64,Danica,Comet,0,94,18,0,3,5,<NA>
65,Wing Stop (F3 Naperville),Comet,0,93,16,9,<NA>,<NA>,<NA>
66,Hat Trick,Vixen,0,92,14,21,<NA>,<NA>,<NA>
67,Mr. Belding,Donner,0,91,14,31,<NA>,<NA>,<NA>
68,Olive Oyl,Dasher,0,90,10,6,<NA>,<NA>,<NA>
69,Moist,Donner,0,89,15,31,<NA>,<NA>,<NA>
70,5-Putt,Vixen,0,88,19,11,<NA>,<NA>,<NA>
71,Bunker,Cupid,0,87,12,29,<NA>,<NA>,<NA>
72,Shankapotomus,Comet,0,86,16,3,<NA>,<NA>,<NA>
73,Tweety,Vixen,0,84,14,33,<NA>,<NA>,<NA>
74,Pee Wee Herman,Blitzen,0,80,19,8,<NA>,<NA>,<NA>
75,Deliverance,Prancer,0,78,15,0,<NA>,<NA>,<NA>
76,Xena- Warrior Princess,Blitzen,0,76,11,0,<NA>,<NA>,<NA>
77,Derailed,Blitzen,0,74,9,31,<NA>,<NA>,<NA>
78,TruGreen,Dancer,0,70,7,0,<NA>,<NA>,<NA>
78,Quatro,Vixen,0,70,13,5,<NA>,<NA>,<NA>
79,Flo,Prancer,0,69,12,25,<NA>,<NA>,<NA>
79,The Worm,Prancer,0,69,13,8,<NA>,<NA>,<NA>
80,Folgers,Rudolph,10,68,6,20,<NA>,<NA>,<NA>
81,GrubX (CMW),Cupid,10,67,13,6,<NA>,<NA>,<NA>
82,Den Mother,Vixen,0,66,10,3,<NA>,<NA>,<NA>
83,Italian Ice,Rudolph,0,64,16,3,<NA>,<NA>,<NA>
84,Kidney Beans,Blitzen,0,62,12,21,<NA>,<NA>,<NA>
85,Peashooter,Donner,0,61,10,18,<NA>,<NA>,<NA>
85,Waffle House,Dancer,0,61,11,0,3,5,0
86,Slapshot,Rudolph,0,56,15,0,<NA>,<NA>,<NA>
87,Spike Horn,Cupid,0,54,8,9,<NA>,<NA>,<NA>
87,Homer Simpson,Rudolph,0,54,7,6,<NA>,<NA>,<NA>
88,Drive By,Dasher,0,48,7,3,<NA>,<NA>,<NA>
88,SkidMark,Blitzen,0,48,11,15,<NA>,<NA>,<NA>
89,Bambino,Comet,0,47,6,3,3,5,<NA>
90,Sizzler,Cupid,0,45,10,3,<NA>,<NA>,<NA>
90,Sensodyne,Prancer,10,45,8,8,<NA>,<NA>,<NA>
91,Thesaurus,Dancer,0,44,7,0,<NA>,<NA>,<NA>
92,Pit Boss,Donner,0,42,8,10,3,5,0
92,Trickle,Donner,0,42,6,6,<NA>,<NA>,<NA>
93,Fish Tape,Vixen,0,41,12,0,<NA>,<NA>,<NA>
94,Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
95,Nickelback,Rudolph,0,39,6,0,<NA>,<NA>,<NA>
96,Scat,Dasher,0,37,4,0,<NA>,<NA>,<NA>
97,Gopher,Blitzen,10,35,4,3,<NA>,<NA>,<NA>
98,Martha Stewart,Dancer,10,34,7,3,3,5,0
98,Hackman,Vixen,0,34,8,2,<NA>,<NA>,<NA>
98,The Vault,Prancer,0,34,6,0,3,5,0
99,LaRussa,Dasher,0,33,4,6,<NA>,<NA>,<NA>
99,BoilerUp,Rudolph,10,33,4,8,<NA>,<NA>,<NA>
99,Cowbell,Rudolph,0,33,7,0,<NA>,<NA>,<NA>
100,BORG,Dasher,0,32,8,3,3,5,0
100,Backstreet,Rudolph,0,32,7,6,<NA>,<NA>,<NA>
101,Heifer,Comet,0,31,5,0,3,5,<NA>
102,SoccerMom,Vixen,0,29,7,0,3,5,<NA>
103,Second Best,Comet,0,28,5,0,3,5,<NA>
104,Fire Hose,Comet,0,27,3,0,3,0,<NA>
105,Ginga,Vixen,0,26,7,0,<NA>,<NA>,<NA>
105,Circuit City,Prancer,0,26,7,2,3,5,0
106,TPS Report,Vixen,0,25,3,13,3,0,<NA>
107,Mapquest,Rudolph,0,24,8,0,<NA>,<NA>,<NA>
108,Lot lizard,Cupid,0,23,3,6,<NA>,<NA>,<NA>
109,Woody,Blitzen,0,22,5,2,<NA>,<NA>,<NA>
110,Laces Out,Cupid,0,20,5,0,<NA>,<NA>,<NA>
111,Ozark,Dancer,0,19,3,2,<NA>,<NA>,<NA>
111,Eleanor,Dancer,0,19,2,0,3,0,0
112,HandsOn,Dancer,0,18,5,0,3,5,0
112,Sloppy Joe,Prancer,0,18,6,0,<NA>,<NA>,<NA>
113,Trojan,Dasher,0,17,4,0,3,0,<NA>
113,Foundation,Blitzen,0,17,2,6,<NA>,<NA>,<NA>
113,Grunts,Rudolph,0,17,3,6,3,0,0
113,Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
114,Crotch Rocket,Dancer,10,16,2,0,3,0,0
115,Slinky,Prancer,0,15,3,3,3,0,<NA>
115,Wet Bandit,Prancer,0,15,3,3,<NA>,<NA>,<NA>
115,Jugz,Comet,0,15,2,3,3,0,0
116,Glass Slipper,Prancer,0,14,3,0,3,0,0
116,Double dipper,Cupid,0,14,2,0,3,0,0
116,Go Daddy,Vixen,0,14,2,0,3,0,<NA>
117,Stitch,Vixen,0,13,4,1,3,0,0
118,Chernobyl,Cupid,0,12,2,3,3,0,0
118,Safety Meeting,Dancer,0,12,2,6,<NA>,<NA>,<NA>
118,HGTV,Donner,0,12,3,0,<NA>,<NA>,<NA>
118,Otto Man,Cupid,0,12,4,0,<NA>,<NA>,<NA>
119,Hot Boxx,Prancer,0,11,1,0,<NA>,<NA>,<NA>
119,Great Clips,Cupid,0,11,1,0,<NA>,<NA>,<NA>
119,Spirit,Cupid,0,11,2,0,<NA>,<NA>,<NA>
119,Toby,Comet,0,11,1,0,3,0,<NA>
120,Kindle,Vixen,0,9,2,3,3,0,0
120,Rabbit,Rudolph,0,9,3,0,3,0,0
120,Hot Pants,Comet,0,9,2,0,3,0,0
121,Ollie,Vixen,0,8,1,0,<NA>,<NA>,<NA>
122,Hydrant,Vixen,0,7,1,1,<NA>,<NA>,<NA>
123,Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
123,Large Marge,Donner,0,6,1,0,<NA>,<NA>,<NA>
123,Dr. Loco,Rudolph,0,6,2,0,3,0,0
123,Sailer Moon,Blitzen,0,6,2,0,<NA>,<NA>,<NA>
124,Ferkus,Prancer,0,5,0,0,<NA>,<NA>,<NA>
124,Griner,Comet,0,5,0,0,<NA>,<NA>,<NA>
125,Grinch,Dasher,0,3,0,0,<NA>,<NA>,<NA>
125,Dungeon Master,Prancer,0,3,1,0,3,0,0
