user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
Pop-Tart,Dancer,0,194,26,20,<NA>,<NA>,<NA>
Pull-up,Comet,20,224,20,50,<NA>,<NA>,<NA>
Quatro,Vixen,0,70,13,5,<NA>,<NA>,<NA>
Rabbit,Rudolph,0,12,4,0,3,0,0
Ricochet,Dancer,0,211,28,63,<NA>,<NA>,<NA>
Ricola,Rudolph,20,248,28,45,<NA>,<NA>,<NA>
Ringo,Rudolph,20,186,20,19,<NA>,<NA>,<NA>
Rooney,Dasher,10,116,16,30,<NA>,<NA>,<NA>
Safety Meeting,Dancer,0,12,2,6,<NA>,<NA>,<NA>
Sailer Moon,Blitzen,0,6,2,0,<NA>,<NA>,<NA>
Scat,Dasher,0,37,4,0,<NA>,<NA>,<NA>
Schlitz,Blitzen,10,216,21,44,<NA>,<NA>,<NA>
Scratch and Dent,Dasher,20,323,38,62,<NA>,<NA>,<NA>
Scuba Steve,Vixen,0,117,18,16,<NA>,<NA>,<NA>
Second Best,Comet,0,28,5,0,3,5,<NA>
Sensodyne,Prancer,10,45,8,8,<NA>,<NA>,<NA>
Shankapotomus,Comet,0,86,16,3,<NA>,<NA>,<NA>
Singer,Cupid,10,128,18,37,<NA>,<NA>,<NA>
Six Sheets,Comet,0,133,20,42,3,5,<NA>
Sizzler,Cupid,0,45,10,3,<NA>,<NA>,<NA>
SkidMark,Blitzen,0,48,11,15,<NA>,<NA>,<NA>
Slapshot,Rudolph,0,56,15,0,<NA>,<NA>,<NA>
Slinky,Prancer,0,15,3,3,3,0,<NA>
Sloppy Joe,Prancer,0,18,6,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,29,7,0,3,5,<NA>
Soft Hands,Cupid,10,223,24,57,<NA>,<NA>,<NA>
Sparkler,Cupid,0,131,15,48,<NA>,<NA>,<NA>
Sparky,Dancer,20,258,23,66,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,54,8,9,<NA>,<NA>,<NA>
Spirit,Cupid,0,11,2,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,10,334,41,66,<NA>,<NA>,<NA>
Stitch,Vixen,0,13,4,1,3,0,0
Storm Chaser,Donner,0,203,28,32,<NA>,<NA>,<NA>
TPS Report,Vixen,0,25,3,13,3,0,<NA>
The Vault,Prancer,0,34,6,0,3,5,0
The Worm,Prancer,0,69,13,8,<NA>,<NA>,<NA>
Thesaurus,Dancer,0,44,7,0,<NA>,<NA>,<NA>
Tighty Whities,Comet,0,116,16,11,3,5,<NA>
Tinfoil,Prancer,10,99,17,18,3,5,<NA>
Toby,Comet,0,11,1,0,3,0,<NA>
Trickle,Donner,0,42,6,6,<NA>,<NA>,<NA>
Trifecta,Dasher,0,95,9,24,<NA>,<NA>,<NA>
Trojan,Dasher,0,17,4,0,3,0,<NA>
TruGreen,Dancer,0,70,7,0,<NA>,<NA>,<NA>
Tweety,Vixen,0,84,14,33,<NA>,<NA>,<NA>
UPS,Dasher,0,186,22,38,<NA>,<NA>,<NA>
Underdog,Rudolph,0,99,18,33,<NA>,<NA>,<NA>
Waffle House,Dancer,0,61,11,0,3,5,0
Wet Bandit,Prancer,0,15,3,3,<NA>,<NA>,<NA>
Wing Stop (F3 Naperville),Comet,0,93,16,9,<NA>,<NA>,<NA>
Woody,Blitzen,0,22,5,2,<NA>,<NA>,<NA>
Xena- Warrior Princess,Blitzen,0,76,11,0,<NA>,<NA>,<NA>
YellowPages,Prancer,10,203,24,26,<NA>,<NA>,<NA>
Zimmer,Dasher,10,220,26,42,<NA>,<NA>,<NA>
fuzzy navel,Donner,10,137,10,21,<NA>,<NA>,<NA>
vern,Vixen,0,107,18,24,<NA>,<NA>,<NA>
